target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
F2,random,2,176.3960388183594,1.8387153789468382,-9.644387817382807,0.002,-8.1206,0.807073259102568,0.9716447176035728,125.61633109003306,3.0955950200557707
F2,random,3,179.7262176513672,0.934427777183975,-7.940646362304665,0.006,-8.187,0.8266248396912859,0.9632327132329721,150.19863340966404,3.100595915690065
F2,random,4,180.66673278808594,0.8805564776030416,-8.163870239257813,0.006,-8.1402,0.8225429384896172,0.9574124297031095,162.92970221452416,3.228964991122484
F2,random,5,181.36402893066403,0.7662646364161966,-8.726129150390648,0.004,-8.113199999999999,0.831671406223155,0.9601014014910391,184.2854088138789,3.147006618604064
F2,random,6,182.177294921875,0.7710430113624116,-9.119903564453125,0.01,-8.208400000000001,0.8389207207562764,0.9571680552579267,197.26581861376764,3.2602951236069204
F2,random,7,182.3190979003906,0.7067508525640857,-10.06275939941408,0.0,-8.173399999999999,0.8376738556815445,0.9626983576796493,195.59152492955326,3.3061556961387395
F2,random,8,182.88513793945313,0.9415181040595886,-10.079632568359369,0.002,-8.1608,0.8444568427501389,0.9514570228869157,211.33361989185215,3.1467304818332194
F2,random,9,183.13184814453126,0.943545705731904,-10.091946411132806,0.0,-8.2072,0.8476352461676939,0.9569878696427606,249.38949156142772,3.1527719393372537
F2,random,10,183.533837890625,1.2595099010607744,-10.600283813476569,0.0,-8.1976,0.8385835680926987,0.9600758451068397,236.16600970476867,3.3267419688403606
JAK2,analytic_ehvi,1,194.41402282714844,2.756528411995836,-0.5394134521484262,0.014000000000000002,-8.130199999999999,0.649059634726789,0.9757122366365829,92.32011051252485,3.3790014661848544
JAK2,analytic_ehvi,2,200.44798889160157,2.039305382243747,2.283139038085943,0.19,-9.5124,0.7453094150601121,0.9595067407196918,120.26624954491854,3.300917924195528
JAK2,analytic_ehvi,3,202.39219360351564,2.2941338484381695,1.5505310058593806,0.10200000000000001,-9.354800000000001,0.7604986658544665,0.9585242627361549,148.81522235758604,3.506832369789481
JAK2,analytic_ehvi,4,204.56722717285157,1.349411864024589,1.5911376953125114,0.11400000000000002,-9.3324,0.7654297199351927,0.9463949292379379,164.06806182265282,3.3448830116540194
JAK2,analytic_ehvi,5,205.2449523925781,1.279894074402908,1.5704559326171819,0.088,-9.447199999999999,0.7830177498866927,0.9439671642988772,184.6954708915204,3.3946421440690755
JAK2,analytic_ehvi,6,206.13507080078125,0.6590435024268256,1.6615936279296875,0.146,-9.431000000000001,0.7640093194703402,0.9518254301727556,178.0758713003248,3.4423125836998225
